City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
506,Urumqi,CN,75.2,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
508,The Valley,AI,79.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
509,Bubaque,GW,78.66,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
510,Shawnee,US,81.0,clear sky,39.05,-95.7669,Fairfield Inn by Marriott Topeka
516,Wewak,PG,81.72,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
517,Minab,IR,75.2,broken clouds,27.1467,57.0801,Bam campground
518,Lahaina,US,80.6,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
521,Ransang,PH,79.41,broken clouds,8.9603,117.5828,Black and Crystal Sand Campsite
522,Grand Gaube,MU,78.01,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
523,Contepec,MX,86.0,broken clouds,20.0167,-100.1167,"Centro Ecoturístico ""El Borbollón"""
524,Jalu,LY,85.05,clear sky,29.0331,21.5482,صاحبة الفخامة
529,Arlit,NE,88.05,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
530,Laguna,US,87.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
534,San Miguel,SV,87.8,few clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
537,Sabang,ID,82.13,overcast clouds,5.8933,95.3214,Hotel Citra
541,Asyut,EG,77.0,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
542,Harper,LR,80.76,overcast clouds,4.375,-7.7169,Screensaver
544,Bull Savanna,JM,77.2,scattered clouds,17.8868,-77.5902,Big Red's
546,Teknaf,BD,76.28,clear sky,20.8624,92.3058,Forestry Guesthouse
547,Avera,US,75.2,clear sky,33.194,-82.5271,
553,Quatre Cocos,MU,78.01,scattered clouds,-20.2078,57.7625,Veranda Palmar Beach Hotel
554,Balabag,PH,81.7,broken clouds,11.97,121.9192,Red Coconut Beach Hotel Boracay
557,Warri,NG,78.13,broken clouds,5.5167,5.75,BON Hotel Delta
562,Cabanas,CU,84.0,broken clouds,22.9758,-82.9219,Villa Luis Montesino y Anabel
564,Amahai,ID,81.5,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
565,Goundam,ML,84.27,overcast clouds,16.4145,-3.6708,
571,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
576,Dubti,ET,79.23,broken clouds,11.7361,41.0853,degu Shiferaw
577,Aswan,EG,86.49,clear sky,24.0934,32.907,Nuba Nile
578,Kahului,US,80.6,light rain,20.8947,-156.47,Maui Seaside Hotel
580,Guymon,US,78.8,clear sky,36.6828,-101.4816,Super 8 Guymon
581,Ambon,ID,82.83,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
583,Sun Valley,US,82.99,broken clouds,39.5963,-119.77600000000001,Panther Valley RV Park
584,Meadow Lake,US,75.99,few clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
586,Morros,BR,79.57,broken clouds,-9.4467,-46.3003,
588,Sai Buri,TH,76.89,light rain,6.7013,101.6168,ร้าน​ เวดดิ้ง
593,Buala,SB,82.33,light rain,-8.145,159.5921,Maringe Lagoon Lodge
597,Rosarito,MX,86.0,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
599,Karratha,AU,80.65,clear sky,-20.7377,116.8463,ibis Styles Karratha
602,Cap Malheureux,MU,78.01,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
608,Singkang,MY,75.2,few clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
609,Honiara,SB,83.91,overcast clouds,-9.4333,159.95,Heritage Park Hotel
612,Pochutla,MX,86.0,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
616,Santa Isabel Do Rio Negro,BR,75.87,scattered clouds,-0.4139,-65.0192,Hotel GSA
617,San Carlos,VE,75.92,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
620,Ahuimanu,US,82.4,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
622,Sawang Daen Din,TH,77.0,overcast clouds,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
626,Manpur,IN,82.74,overcast clouds,22.4333,75.6167,Manpur Guest House PWD
627,Shwebo,MM,78.62,few clouds,22.5667,95.7,MOON SHINE Guest House
628,Riachao Das Neves,BR,76.15,overcast clouds,-11.7461,-44.91,Casa Costa
629,Sorong,ID,79.11,overcast clouds,-0.8833,131.25,waigo splash hotel
632,Jasper,US,79.0,clear sky,37.2001,-94.3502,Guest House Motel
633,Puerto Baquerizo Moreno,EC,80.6,few clouds,-0.9,-89.6,Hotel los Algarrobos
639,Trat,TH,79.0,broken clouds,12.5,102.5,สวนหนิง-อัศ
640,Taoudenni,ML,76.55,overcast clouds,22.6783,-3.9836,
641,Gaoual,GN,88.23,scattered clouds,11.75,-13.2,Hotel koliba
642,Kieta,PG,83.3,light rain,-6.2167,155.6333,Uruna Bay Retreat
643,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
645,Sola,VU,79.68,scattered clouds,-13.8833,167.55,Leumerus Bungalows
649,Benguela,AO,78.12,broken clouds,-12.5763,13.4055,Hotel Praia Morena
650,Sechura,PE,77.05,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
653,Barreirinha,BR,77.0,heavy intensity rain,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
660,Poum,NC,75.69,broken clouds,-20.2333,164.0167,Gîte kajeon
661,Pierre,US,82.0,clear sky,44.3683,-100.351,Ramkota Hotel
662,Hobyo,SO,83.66,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
